department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Hybrid,Alexandr Donett,Jaxworks,adonett1h@plala.or.jp,968-833-6364,229,62,10,187,5,65,20,Premium,1,$11609.78,$399972.05
Hybrid,Betsy Ormes,DabZ,bormes1k@fema.gov,316-373-8128,348,66,1,626,16,118,19,Premium,4,$8276.55,$1163938.29
Hybrid,Gilli Bradbrook,Meembee,gbradbrook1m@biglobe.ne.jp,522-560-1893,176,40,2,315,15,136,9,Standard,16,$16192.36,$49575.38
Hybrid,Roxy Rama,Mynte,rrama1q@blogger.com,260-374-8560,60,63,8,350,18,66,15,Excelium,19,$11443.77,$1768826.49
Hybrid,Ervin Chevolleau,Skiba,echevolleau1u@eepurl.com,701-899-5065,296,54,2,635,17,277,15,Standard,8,$8628.21,$2169978.37
Hybrid,Shanda Adamini,Meejo,sadamini1x@com.com,173-710-6350,277,53,5,989,9,183,17,Standard,10,$7615.59,$1225552.05
Hybrid,Tucker Radleigh,Chatterpoint,tradleigh23@sogou.com,884-440-6642,140,38,9,705,13,207,11,Excelium,26,$12735.54,$2022322.21
Hybrid,Gard Yedall,Tekfly,gyedall2b@time.com,351-440-1825,171,61,5,497,19,266,17,Excelium,1,$11410.49,$792096.91
Hybrid,Welby Van Ross,Agimba,wvan2c@cam.ac.uk,207-954-9054,64,55,5,252,7,138,10,Premium,26,$16965.96,$1068892.62
Hybrid,Rhodia Meace,Plajo,rmeace2e@youku.com,787-867-3004,127,25,5,325,9,78,21,Excelium,29,$11220.10,$1175180.23
Hybrid,Dalila Kearns,Rhyzio,dkearns2m@bandcamp.com,309-979-5313,229,47,5,116,18,101,20,Standard,18,$10376.73,$321357.80
Hybrid,Araldo Blindmann,Skyvu,ablindmann2p@1688.com,854-924-8570,95,13,9,846,5,80,9,Standard,23,$12505.87,$641207.65
Hybrid,Errick Harly,Jabbertype,eharly2q@ebay.co.uk,722-414-9740,67,48,4,435,17,125,24,Premium,13,$7310.57,$94476.15
Hybrid,Brose Ridde,Leexo,bridde30@intel.com,817-423-8202,122,65,8,314,19,297,15,Standard,10,$9354.33,$1243549.30
Hybrid,Ruby Wones,Yakijo,rwones31@technorati.com,245-735-8497,112,21,6,448,20,143,21,Premium,12,$8568.62,$1658822.65
Hybrid,Richart Kerrigan,Talane,rkerrigan32@g.co,472-553-5833,225,3,6,812,10,260,9,Standard,17,$7683.93,$85744.70
Hybrid,Buck Keymar,Dynazzy,bkeymar34@vk.com,838-440-5460,203,51,10,384,13,43,13,Excelium,5,$15917.13,$1680841.48
Hybrid,Harald Duerden,Kanoodle,hduerden36@ibm.com,365-591-6363,382,9,6,604,15,265,15,Excelium,17,$12219.69,$684457.41
Hybrid,Hebert Whiteford,Gabvine,hwhiteford37@stanford.edu,985-457-8228,219,41,9,998,15,220,10,Premium,11,$11769.00,$1359351.39
Hybrid,Ramon Marjot,Yabox,rmarjot3c@wisc.edu,151-965-8716,71,39,4,836,7,83,10,Premium,18,$17642.74,$1027929.32
Hybrid,Sheelah Dumbarton,Babbleopia,sdumbarton3d@nsw.gov.au,556-156-3389,304,74,6,119,16,181,23,Excelium,27,$13928.85,$1593194.87
Hybrid,Harwilll Covet,Topdrive,hcovet3j@loc.gov,756-949-0976,320,56,9,841,8,300,17,Standard,11,$12465.12,$1999571.80
Hybrid,Etheline Chalke,Photofeed,echalke3l@theglobeandmail.com,615-362-6386,163,67,3,253,18,169,23,Excelium,9,$8146.37,$1391935.10
Hybrid,Uriel Twallin,Brainlounge,utwallin3n@upenn.edu,919-707-8661,132,33,3,622,13,75,20,Excelium,26,$17016.77,$919007.06
Hybrid,Dela Fasse,Fadeo,dfasse3p@goo.gl,517-555-8178,123,25,7,160,6,137,13,Standard,5,$17604.44,$881153.45
Hybrid,Desi Tassaker,Linkbridge,dtassaker3r@deviantart.com,244-324-4968,275,48,2,793,9,108,23,Standard,14,$12705.67,$1550066.79
Hybrid,Elisabet Kimberly,Fadeo,ekimberly3u@europa.eu,665-763-6360,221,24,4,81,20,126,23,Excelium,19,$11972.33,$1644307.82
Hybrid,Pablo Gaffon,Blogtag,pgaffon40@sogou.com,874-702-7926,188,17,4,619,19,45,11,Premium,9,$8867.95,$1837562.90
Hybrid,Nicolina Frowing,Roombo,nfrowing47@wikia.com,252-459-0327,60,39,10,954,12,244,23,Excelium,7,$17768.36,$1326746.54
Hybrid,Silvana O'Tuohy,Shuffletag,sotuohy4e@usa.gov,739-197-7023,52,8,10,784,15,39,22,Standard,17,$16109.56,$2284884.26
Hybrid,Shayne Millican,Jaxspan,smillican4f@hao123.com,750-939-9180,147,79,4,183,13,261,16,Premium,20,$12472.96,$1973522.77
Hybrid,Mariele Keling,Skidoo,mkeling4h@opera.com,915-517-5228,106,69,4,460,15,30,17,Excelium,10,$14768.29,$503149.14
Hybrid,Jobie Haysar,Oba,jhaysar4o@abc.net.au,460-459-4692,253,5,1,47,14,112,11,Excelium,18,$8051.90,$604303.11
Hybrid,Gabi MacCartan,Meezzy,gmaccartan4q@cyberchimps.com,328-329-1689,342,15,10,83,7,230,12,Standard,19,$11447.95,$1991756.17
Hybrid,Putnam Bickerdike,Eazzy,pbickerdike4v@odnoklassniki.ru,988-124-0122,40,94,6,974,15,291,12,Premium,13,$13032.89,$945288.49
Hybrid,Erika Gross,Kwideo,egross4w@bbc.co.uk,684-741-5429,250,26,7,970,20,45,19,Premium,21,$10298.12,$384438.46
Hybrid,Thomasin Sawtell,Flipstorm,tsawtell51@symantec.com,139-373-1339,269,72,7,684,9,134,15,Excelium,4,$14414.59,$151895.93
Hybrid,Ranee Pinkney,Voomm,rpinkney55@theguardian.com,675-467-6122,317,4,8,889,11,95,15,Premium,29,$8219.43,$1622702.51
Hybrid,Carissa Loakes,Vinte,cloakes56@latimes.com,375-963-4177,390,79,3,536,5,256,11,Premium,12,$7217.57,$1998157.91
Hybrid,Page Bernhardt,Demivee,pbernhardt58@engadget.com,888-213-5102,155,20,4,380,5,128,16,Premium,9,$9049.42,$1066768.01
Hybrid,Jamey Edlyne,Meevee,jedlyne5h@cnn.com,363-491-0606,279,9,2,261,18,93,14,Excelium,12,$13542.95,$687389.43
Hybrid,Blondell Medcalfe,Trunyx,bmedcalfe5i@wufoo.com,266-615-8235,350,55,5,621,11,118,23,Standard,6,$10191.33,$658293.51
Hybrid,Conney Sterricker,Gigazoom,csterricker5l@tripod.com,352-315-1654,164,88,5,282,5,272,9,Premium,22,$15271.72,$43592.13
Hybrid,Galina Klampt,Wordware,gklampt5r@themeforest.net,506-576-2131,398,39,7,721,5,133,13,Standard,8,$7188.21,$1197863.42
Hybrid,Pietrek Klempke,Jabbersphere,pklempke5s@naver.com,173-524-5175,309,23,8,765,14,153,20,Premium,24,$9347.42,$817102.68
Hybrid,Early Chapiro,Voonix,echapiro5v@japanpost.jp,467-256-0022,192,65,9,435,6,299,8,Standard,12,$13870.81,$1731261.71
Hybrid,Nadine Blofeld,Topicshots,nblofeld64@java.com,595-857-6551,24,85,10,289,9,286,21,Excelium,15,$12745.24,$2090735.49
Hybrid,Vasily Drewitt,Eare,vdrewitt6e@usgs.gov,403-789-5703,206,40,2,820,19,43,24,Premium,26,$14198.86,$864131.12
Hybrid,Chase Yeowell,Feedfire,cyeowell6f@cisco.com,162-724-5204,262,41,2,944,8,192,13,Standard,17,$7573.14,$1143883.22
Hybrid,Elsbeth Shaw,Teklist,eshaw6g@nbcnews.com,786-782-9624,253,61,7,203,12,131,12,Premium,9,$11375.30,$60205.41
Hybrid,Tremayne Polland,Yozio,tpolland6h@multiply.com,716-690-2719,29,93,9,782,8,61,11,Excelium,12,$8988.28,$161408.74
Hybrid,Zilvia Causbey,Midel,zcausbey6l@xing.com,294-335-4815,172,3,10,703,6,180,8,Excelium,16,$9565.04,$1288389.21
Hybrid,Jaime Spurier,Voolia,jspurier6o@bravesites.com,420-754-1308,155,72,3,672,12,113,9,Excelium,14,$13125.06,$2103114.82
Hybrid,Basia Peele,Myworks,bpeele6r@weibo.com,312-951-9038,386,77,3,839,8,174,18,Premium,27,$8196.01,$1977752.35
Hybrid,Renato Prozescky,Skyvu,rprozescky6t@discuz.net,153-334-8827,293,32,5,614,8,64,15,Excelium,21,$8350.15,$1790035.71
Hybrid,Callean Holby,Aibox,cholby6v@soup.io,691-148-2338,285,67,6,372,11,45,24,Standard,9,$14634.81,$464998.41
Hybrid,Red Bourchier,Skipfire,rbourchier72@topsy.com,705-709-5580,260,91,7,86,8,51,17,Excelium,23,$11553.41,$364567.41
Hybrid,Jonis Hawksworth,Jetpulse,jhawksworth7c@huffingtonpost.com,869-522-8400,102,20,2,201,18,216,10,Excelium,17,$11523.78,$712729.48
Hybrid,Roz Kubas,Thoughtbridge,rkubas7d@liveinternet.ru,160-695-9995,377,4,10,424,6,144,16,Standard,16,$11149.19,$1469807.06
Hybrid,Libbey Beri,Voonder,lberi7f@is.gd,500-181-0872,166,8,3,13,16,112,16,Excelium,25,$13860.68,$88163.09
Hybrid,Dania Guest,Babbleopia,dguest7k@ibm.com,588-397-2674,305,40,5,988,6,265,10,Premium,27,$8063.44,$1941900.71
Hybrid,Becki Critcher,Oyope,bcritcher7l@addtoany.com,116-574-1285,222,100,6,266,15,165,12,Premium,23,$12560.04,$1669516.09
Hybrid,Davida Pymar,Jaxworks,dpymar7m@jimdo.com,792-602-1565,144,98,4,145,18,276,24,Excelium,30,$15830.14,$115511.71
Hybrid,Douglass Cicccitti,Gigashots,dcicccitti7o@networkadvertising.org,124-620-8925,300,52,8,461,12,144,21,Excelium,3,$17056.80,$2238377.12
Hybrid,Maiga Taunton,Jetpulse,mtaunton7s@ucsd.edu,190-142-7576,382,23,8,220,16,100,10,Standard,3,$16648.82,$151306.33
Hybrid,Peg Stigger,Rhynoodle,pstigger80@bing.com,632-359-9052,78,90,2,61,17,153,24,Standard,2,$7840.87,$1821229.03
Hybrid,Demeter Giroldo,Centizu,dgiroldo84@macromedia.com,894-190-0040,374,41,10,327,17,249,24,Premium,9,$17122.74,$886918.41
Hybrid,Basil Harrhy,Browsezoom,bharrhy86@comsenz.com,878-187-6462,250,30,7,360,5,95,14,Standard,7,$10478.67,$942923.28
Hybrid,Gawain Longland,Lazzy,glongland8a@bizjournals.com,847-938-5214,64,40,4,286,10,220,12,Excelium,2,$17864.15,$1302079.23
Hybrid,Bettina Dyble,Youfeed,bdyble8e@last.fm,322-709-5076,334,98,7,703,9,279,15,Excelium,3,$11483.38,$1215698.12
Hybrid,Lief Brittin,Yakitri,lbrittin8j@indiegogo.com,516-961-1760,305,53,4,723,7,278,8,Excelium,11,$10341.02,$2271906.37
Hybrid,Jason Bigglestone,Twimm,jbigglestone8p@columbia.edu,325-680-4089,58,36,5,39,11,42,13,Premium,21,$8297.42,$103406.46
Hybrid,Chrissie Swinnerton,Demizz,cswinnerton94@japanpost.jp,159-598-4369,319,14,8,61,7,206,18,Standard,11,$13911.69,$1081508.02
Hybrid,Brenda Ferriby,JumpXS,bferriby9c@reverbnation.com,696-129-5462,58,11,4,731,8,185,21,Excelium,16,$13007.23,$459934.53
Hybrid,Gilly Hards,Dazzlesphere,ghards9g@oaic.gov.au,113-700-7115,153,67,8,795,10,159,12,Standard,13,$16086.01,$769197.05
Hybrid,Rawley Gillogley,Yodoo,rgillogley9i@blogs.com,493-243-9657,179,80,5,308,5,244,20,Excelium,29,$16186.43,$1648996.92
Hybrid,Isabelle Cristofori,Zoozzy,icristofori9p@scientificamerican.com,954-173-7179,29,71,5,388,17,113,10,Standard,26,$15702.92,$1374004.81
Hybrid,Teddie Banker,Zoovu,tbanker9r@about.com,131-925-2745,121,19,9,606,8,272,23,Premium,7,$15583.69,$1188143.67
Hybrid,Moira Herculeson,Divanoodle,mherculeson9t@posterous.com,456-414-2890,328,16,6,948,11,230,23,Standard,4,$7644.22,$616569.26
Hybrid,Leland Stiles,Tagcat,lstiles9v@wsj.com,642-352-6897,145,32,2,823,11,95,21,Standard,26,$12716.40,$1151188.96
Hybrid,Irma Oliver,Skalith,iolivera1@ebay.com,820-589-1312,38,38,1,788,19,184,24,Excelium,20,$15003.75,$1178266.50
Hybrid,Derk Bows,Flipbug,dbowsa4@geocities.jp,347-390-4745,63,27,5,982,9,193,13,Premium,17,$16012.53,$2093348.66
Hybrid,Vladimir Hail,Trupe,vhaila8@addthis.com,369-278-9555,289,41,3,973,12,289,10,Excelium,7,$16895.19,$1740780.93
Hybrid,Butch Griffith,Npath,bgriffithad@networksolutions.com,210-474-4032,118,35,3,613,7,295,23,Excelium,27,$9187.56,$1693977.50
Hybrid,Elden Gullane,Mybuzz,egullaneaf@google.ca,256-744-2076,222,38,5,944,20,62,9,Premium,20,$10496.44,$882738.90
Hybrid,Way Nicolson,Tagcat,wnicolsonai@chronoengine.com,855-581-0586,109,68,1,329,13,103,16,Standard,1,$13651.45,$261383.61
Hybrid,Deborah Zannotelli,Leexo,dzannotelliaj@reddit.com,149-555-8614,88,96,8,146,8,177,8,Excelium,4,$14880.47,$2304614.15
Hybrid,Andres Dullaghan,Trudeo,adullaghanal@msu.edu,682-283-8987,128,3,2,895,15,165,17,Excelium,10,$11936.68,$683105.68
Hybrid,Evelina Wait,Tagopia,ewaitao@hao123.com,694-550-6955,305,67,10,18,10,99,9,Standard,24,$16111.62,$1914111.36
Hybrid,Helen Duffill,Katz,hduffillap@artisteer.com,204-948-8105,186,39,10,64,5,292,22,Premium,2,$16499.67,$609964.87
Hybrid,Jayne Loudian,Shuffletag,jloudianau@nationalgeographic.com,504-405-9625,320,34,2,102,12,264,22,Standard,10,$8465.33,$1840107.83
Hybrid,Gwendolyn Fotherby,Ainyx,gfotherbyax@pbs.org,379-752-2440,191,72,3,500,20,234,22,Premium,22,$12270.64,$462988.81
Hybrid,Noam Grammer,Kwinu,ngrammerb7@com.com,358-511-6798,239,73,2,193,8,123,22,Standard,17,$14723.58,$2162745.49
Hybrid,Rey Jendas,Katz,rjendasb8@huffingtonpost.com,308-410-5922,191,60,6,344,9,142,24,Excelium,20,$8609.00,$539322.38
Hybrid,Mildred Shee,Oodoo,msheeba@dagondesign.com,332-448-1642,46,100,1,339,15,45,11,Premium,19,$15303.27,$1576590.99
Hybrid,Quinn Bestiman,Devshare,qbestimanbc@vkontakte.ru,745-205-5276,131,88,8,341,7,224,11,Standard,4,$10226.10,$87491.44
Hybrid,Stace Ruddom,Topicshots,sruddombi@over-blog.com,768-425-5614,169,62,2,228,5,162,19,Standard,6,$14967.73,$1522611.13
Hybrid,Craig Tarver,Teklist,ctarverbk@flavors.me,337-861-0746,319,71,1,856,19,205,14,Standard,21,$10783.49,$490539.27
Hybrid,Frasquito Haggard,Divavu,fhaggardbu@wiley.com,265-395-1394,62,39,8,698,13,46,16,Premium,23,$14247.79,$2046063.91
Hybrid,Nicolle Tetley,Dabtype,ntetleybv@microsoft.com,814-654-4330,140,43,2,552,20,79,15,Excelium,16,$11165.90,$2112054.48
Hybrid,Fee Fenwick,Bubblemix,ffenwickc5@youtube.com,304-853-5408,305,15,8,975,9,156,20,Excelium,28,$17019.04,$549500.14
Hybrid,Atlanta Week,Kanoodle,aweekc9@wisc.edu,266-790-6470,327,25,10,153,14,77,15,Excelium,24,$10568.90,$2147304.07
Hybrid,Timi Dolohunty,Fanoodle,tdolohuntyce@technorati.com,971-314-0725,200,57,2,46,18,232,16,Standard,5,$11735.17,$256404.90
Hybrid,Amii Savins,Vimbo,asavinsch@vk.com,445-592-8226,270,37,10,573,17,186,18,Excelium,3,$15133.04,$240270.35
Hybrid,Gabie Warrener,Linktype,gwarrenerck@zimbio.com,356-947-3552,392,22,1,611,5,62,21,Standard,3,$16359.92,$2265791.71
Hybrid,Forbes Bencher,Youspan,fbenchercp@mac.com,941-419-5603,201,39,2,658,19,299,14,Excelium,8,$7171.54,$946167.26
Hybrid,Rayna Millard,Flashpoint,rmillardcr@stumbleupon.com,396-380-0677,42,36,5,511,16,189,9,Standard,10,$14838.21,$1380135.79
Hybrid,Drud Le Provost,Tavu,dlecs@chicagotribune.com,455-221-2687,240,46,7,243,14,34,15,Standard,28,$11925.83,$2072256.08
Hybrid,Delores Allsop,Jamia,dallsopct@icq.com,351-692-3108,375,65,8,72,9,210,19,Standard,1,$7305.29,$1565857.30
Hybrid,Abram Nickolls,Zoombox,anickollscx@php.net,912-493-2040,150,40,1,905,12,273,18,Excelium,22,$15240.90,$293046.99
Hybrid,Lucienne Macek,Browsebug,lmacekd0@bloglines.com,366-277-9247,275,51,9,637,9,278,9,Standard,28,$8098.48,$1621104.09
Hybrid,Seymour Matthiesen,Youfeed,smatthiesendd@go.com,794-147-3471,252,73,9,691,15,145,8,Premium,21,$7755.18,$762024.30
Hybrid,Shea Sumpter,Zooxo,ssumpterdf@scientificamerican.com,355-299-1377,365,12,8,286,17,246,23,Premium,8,$12538.48,$408508.69
Hybrid,Filberte Pods,Centidel,fpodsdg@cnet.com,342-692-9123,198,5,9,941,14,55,23,Excelium,12,$7499.69,$1912657.41
Hybrid,Karmen Bome,Babbleblab,kbomedv@wired.com,627-961-7085,394,34,3,342,6,107,9,Premium,1,$11246.09,$632964.51
Hybrid,Harv Vignaux,Browsebug,hvignauxdy@spiegel.de,501-511-5235,220,23,10,981,5,74,24,Standard,30,$13611.16,$10094.25
Hybrid,Dionisio Gyppes,Avamm,dgyppese5@clickbank.net,670-985-5788,37,53,1,924,7,229,13,Standard,20,$16594.81,$1160121.18
Hybrid,Hadleigh Antonowicz,Meevee,hantonowicze7@google.com.hk,113-782-0734,259,94,8,608,18,31,14,Premium,1,$14007.19,$1521179.76
Hybrid,Rora Stickel,Realcube,rstickelea@merriam-webster.com,898-237-4406,106,92,8,952,6,296,16,Premium,13,$10648.72,$429690.89
Hybrid,Karim Greaser,Youfeed,kgreaserec@comsenz.com,255-230-7956,155,82,9,868,7,85,8,Standard,6,$8878.08,$820489.57
Hybrid,Velma Bridgett,Wordpedia,vbridgetted@behance.net,926-342-4014,274,39,9,394,5,147,18,Excelium,7,$15961.16,$1657539.38
Hybrid,Timi Shenfisch,Babbleopia,tshenfischeg@yandex.ru,170-706-8688,20,34,10,190,5,186,16,Standard,22,$10864.51,$1455430.97
Hybrid,Carley Ollive,Gevee,colliveej@acquirethisname.com,157-395-1855,279,35,6,641,19,95,19,Standard,24,$16590.70,$731694.11
Hybrid,Norbie Hugonneau,Tagopia,nhugonneauep@google.ru,704-385-7622,117,81,3,399,12,236,18,Standard,1,$10108.67,$973565.18
Hybrid,Norina Brecknock,Mymm,nbrecknocker@example.com,622-631-7689,61,10,6,513,11,273,21,Premium,5,$13759.51,$863608.18
Hybrid,Nyssa Day,Miboo,ndayew@opera.com,704-802-5926,194,79,3,885,10,207,20,Premium,22,$16085.91,$267791.84
Hybrid,Collie Porcher,Browsedrive,cporcherf9@google.pl,995-235-4395,286,37,10,582,16,66,11,Excelium,21,$14151.59,$1394243.41
Hybrid,Alyson Camfield,Wikivu,acamfieldfa@goodreads.com,389-871-4282,51,6,8,382,10,87,15,Excelium,2,$10493.02,$1053034.95
Hybrid,Barnabe Plascott,Bluejam,bplascottfb@wordpress.org,499-282-3849,110,55,6,850,6,244,8,Premium,23,$9644.57,$1805492.02
Hybrid,Tate Hoffner,Divavu,thoffnerfd@cisco.com,631-692-9981,80,32,5,710,17,198,10,Premium,8,$17129.87,$1237117.14
Hybrid,Rodolfo Dyball,Kwideo,rdyballff@bbc.co.uk,561-295-5366,25,87,4,637,19,282,12,Premium,24,$14001.02,$778880.70
Hybrid,Pammy Le Fleming,Fliptune,plefo@youtu.be,631-524-5943,373,98,1,986,14,58,8,Standard,3,$8824.00,$1873152.18
Hybrid,Patsy Hurnell,Shuffledrive,phurnellfx@paypal.com,817-604-9772,331,42,3,253,17,156,20,Standard,27,$11395.59,$1660079.29
Hybrid,Bridie Rogister,Kwideo,brogisterg0@fda.gov,950-937-8361,303,66,3,472,15,229,19,Excelium,17,$8657.29,$392391.07
Hybrid,Emery Brinsford,Talane,ebrinsfordg1@cargocollective.com,581-917-3772,383,58,5,916,10,283,20,Excelium,20,$15472.27,$1840292.59
Hybrid,Allyson Curle,Twitterbeat,acurleg2@networksolutions.com,906-189-9279,138,38,9,533,19,104,14,Standard,15,$8705.01,$1491581.87
Hybrid,Brianne MacAfee,Agimba,bmacafeeg4@gmpg.org,182-660-1764,131,61,5,939,11,222,22,Excelium,16,$17125.22,$1502182.42
Hybrid,Axe Birdsall,Janyx,abirdsallg5@webmd.com,676-368-5582,213,48,3,646,18,153,22,Premium,15,$10933.91,$82035.79
Hybrid,Cecily Druce,Dazzlesphere,cdruceg6@is.gd,428-600-0836,106,33,9,108,8,133,9,Excelium,17,$12606.84,$417088.53
Hybrid,Cristian Catonnet,Mymm,ccatonnetga@harvard.edu,615-158-9776,193,15,5,937,10,109,10,Excelium,5,$8203.04,$925719.05
Hybrid,Adrea Newis,Trudoo,anewisgf@spotify.com,602-370-9384,39,24,7,614,7,263,19,Standard,17,$14203.33,$1822784.59
Hybrid,Hedda Piel,Zoonoodle,hpielgg@taobao.com,582-612-2846,163,77,7,44,5,63,12,Excelium,28,$10377.07,$850131.27
Hybrid,Fleming Dmych,Cogidoo,fdmychgn@acquirethisname.com,633-561-4716,174,31,5,645,10,174,11,Premium,2,$7347.59,$827371.63
Hybrid,Anitra Ravenhill,Tagfeed,aravenhillgq@baidu.com,869-252-2496,384,20,4,463,9,213,18,Standard,19,$12408.11,$1143531.09
Hybrid,Arleyne Netti,Demizz,anettigr@slideshare.net,105-557-6807,98,32,5,180,7,143,18,Standard,6,$9494.01,$904857.48
Hybrid,Sophia Vickors,Bubblebox,svickorsgt@tripod.com,659-415-4576,259,61,3,888,5,135,8,Standard,15,$16808.01,$504254.61
Hybrid,Lorilyn Ricciardelli,Jayo,lricciardelligv@fc2.com,805-486-3339,252,19,6,637,5,158,20,Excelium,20,$11357.79,$1239684.50
Hybrid,Jen Philipson,Trudoo,jphilipsongy@oakley.com,351-968-1170,148,33,10,639,14,269,11,Premium,20,$16119.77,$12843.96
Hybrid,Virgina Sharrier,Buzzshare,vsharrierh2@bbb.org,400-752-1735,255,94,4,723,8,135,9,Premium,21,$12701.59,$1391509.33
Hybrid,Wallis Handaside,Youtags,whandasideh7@altervista.org,194-549-4480,97,79,8,497,17,182,23,Excelium,2,$15049.08,$92153.54
Hybrid,Oralla Secker,Einti,oseckerha@ucoz.com,328-695-9958,368,33,4,363,14,288,10,Standard,16,$11504.24,$1724275.63
Hybrid,Cassie De Giorgio,Oozz,cdehb@msu.edu,948-301-4924,226,84,4,966,20,103,24,Excelium,29,$7382.73,$846725.35
Hybrid,Leonardo Mellon,Topiclounge,lmellonhc@blog.com,908-814-6498,272,55,8,393,17,72,23,Premium,17,$15776.10,$1244747.58
Hybrid,Salomi Brouwer,Bubblemix,sbrouwerhl@bbb.org,200-134-5759,295,3,1,692,14,156,11,Premium,3,$16272.20,$82132.10
Hybrid,Rorke Brandone,Youopia,rbrandoneho@about.me,654-790-5661,395,37,2,638,10,99,15,Standard,3,$17123.95,$47522.37
Hybrid,Parrnell Ivain,Fiveclub,pivainhu@redcross.org,464-501-8496,166,78,3,160,7,52,17,Premium,27,$10231.17,$133894.49
Hybrid,Ephraim Feeney,Pixoboo,efeeneyhy@gizmodo.com,757-450-9967,380,24,4,42,17,65,9,Standard,13,$14190.31,$1107674.26
Hybrid,Herschel Noen,Tekfly,hnoenih@ovh.net,431-805-6625,348,25,6,698,8,280,16,Premium,7,$16484.31,$1422635.06
Hybrid,Bonni McGooch,Meejo,bmcgoochil@sbwire.com,159-686-5411,198,53,7,512,7,282,22,Premium,1,$16717.02,$2042428.92
Hybrid,Jenifer VanBrugh,Skivee,jvanbrughiu@about.me,725-223-2352,94,12,7,806,11,49,9,Excelium,27,$10972.24,$990022.19
Hybrid,Fletcher Stodhart,Skipfire,fstodhartj2@reference.com,213-179-1966,92,82,2,822,5,118,22,Premium,16,$15806.24,$902304.55
Hybrid,Gaultiero Fetherstan,Demivee,gfetherstanj4@mlb.com,503-154-6421,148,8,8,176,8,285,9,Excelium,10,$7624.61,$902652.15
Hybrid,Nadeen Burns,Voolia,nburnsj5@webmd.com,911-652-7814,302,8,3,372,16,260,19,Excelium,19,$15191.05,$382137.93
Hybrid,Jaymee Kleinhandler,Kaymbo,jkleinhandlerj8@woothemes.com,661-814-3521,281,24,2,261,16,52,20,Standard,25,$11553.42,$2293927.54
Hybrid,Wyn Seden,Buzzshare,wsedenjc@unblog.fr,464-140-9652,368,67,7,836,14,74,19,Standard,10,$15233.64,$1592897.10
Hybrid,Addia Papen,Blogspan,apapenjg@weather.com,392-706-2662,265,7,10,78,11,70,17,Premium,23,$9388.75,$936382.24
Hybrid,Mitchael Skrine,Meevee,mskrinejo@squarespace.com,107-117-6334,358,76,2,365,7,43,15,Standard,2,$16992.36,$1085496.58
Hybrid,Stanton Creboe,Trunyx,screboejr@reference.com,536-573-3599,259,33,5,678,7,226,21,Excelium,20,$13827.95,$1773787.55
Hybrid,Margot Livett,Feedmix,mlivettju@rediff.com,814-965-1719,181,15,4,244,18,60,21,Standard,28,$14207.08,$264971.83
Hybrid,Eleanora Edmed,Innojam,eedmedjx@liveinternet.ru,216-297-5108,144,24,10,134,13,240,17,Standard,26,$14523.84,$2264977.24
Hybrid,Cicely Duddell,Photobug,cduddellk0@instagram.com,836-476-0784,203,58,5,420,6,87,11,Premium,20,$13866.24,$100341.78
Hybrid,Anetta Lednor,Gevee,alednork8@biglobe.ne.jp,377-693-3105,193,79,9,92,5,233,8,Premium,6,$17741.47,$2027087.08
Hybrid,Noam McShea,Twitterbeat,nmcsheakd@clickbank.net,771-846-8990,311,13,2,330,19,167,15,Premium,15,$14096.64,$1880154.39
Hybrid,Velma Dimbylow,Photospace,vdimbylowkf@wikipedia.org,367-994-4973,364,74,8,395,20,161,16,Standard,9,$9466.75,$1295703.42
Hybrid,Kiley Chaudhry,Zoomdog,kchaudhrykh@uiuc.edu,338-554-8103,198,85,10,980,18,217,16,Premium,27,$16040.73,$115892.05
Hybrid,Flem Sneezem,Lajo,fsneezemkn@cyberchimps.com,152-420-3918,58,89,4,712,8,126,21,Standard,25,$10957.79,$1212236.56
Hybrid,Edi Tibbetts,Snaptags,etibbettskr@nps.gov,542-897-5578,304,10,6,372,10,281,19,Excelium,19,$13185.69,$40317.00
Hybrid,Lucilia Jamme,Youtags,ljammekv@latimes.com,309-194-6036,102,16,6,525,11,246,18,Standard,13,$8197.24,$1841277.10
Hybrid,Doralia MacIntosh,Edgepulse,dmacintoshkw@ning.com,347-704-6025,372,86,2,733,18,244,12,Excelium,3,$13842.16,$367282.12
Hybrid,Dalenna Ubsdall,Youfeed,dubsdallky@globo.com,216-824-9751,217,16,4,223,15,84,8,Premium,5,$14455.22,$1121385.52
Hybrid,Petrina Stampe,Brainverse,pstampekz@wufoo.com,680-393-1444,69,36,5,513,19,245,17,Premium,20,$15051.22,$1840373.02
Hybrid,Essie Schlagtmans,Oyoloo,eschlagtmansl1@spiegel.de,474-128-0220,140,55,9,663,11,82,20,Excelium,13,$12643.16,$1321298.53
Hybrid,Storm Garci,Photojam,sgarcild@yahoo.co.jp,245-861-3026,45,72,6,259,10,117,8,Excelium,18,$13760.29,$930502.79
Hybrid,Rosetta Seary,Rhynyx,rsearyle@wufoo.com,714-283-4752,44,30,5,216,5,120,13,Premium,11,$9829.91,$1224499.07
Hybrid,Darnall Dawby,Quaxo,ddawbylg@arstechnica.com,372-249-3353,172,82,5,878,11,67,17,Excelium,2,$13890.29,$2075079.03
